B³êdy dla Metody klasycznej bezpoœredniej
                log10(h)         log10(|blad|)

      -1.301029995663981      -1.984740236702721
      -1.221848749616356      -1.907972184057342
      -1.154901959985743      -1.843303818244608
      -1.096910013008056      -1.787540932035634
      -1.045757490560675      -1.738800903677421
                      -1      -1.696065966139651
      -0.958607314841775      -1.656058543390418
     -0.9208187539523752      -1.621753661785855
     -0.8860566476931633      -1.588012678700226
      -0.853871964321762      -1.558625112829395
     -0.8239087409443188      -1.531778439049664
     -0.7958800173440752      -1.504626289667564
      -0.769551078621726      -1.480347339814657
     -0.7447274948966939      -1.458664211451026
     -0.7212463990471709      -1.439232067814011
     -0.6989700043360187       -1.41823842559692
     -0.6777807052660806      -1.397835000364882
     -0.6575773191777936       -1.37913586108571
      -0.638272163982407      -1.361991124361833
     -0.6197887582883939      -1.346255741942903
     -0.6020599913279623      -1.331780909747131
     -0.5850266520291819      -1.318405878776514
     -0.5686362358410125      -1.305951616628764
     -0.5528419686577807      -1.293416538633838
     -0.5376020021010438      -1.278305928878758
     -0.5228787452803374      -1.264114117898389
     -0.5086383061657271      -1.250626272808145
     -0.4948500216800938      -1.238168085952255
     -0.4814860601221124      -1.226285203867719
     -0.4685210829577447        -1.2148133758665
     -0.4559319556497242      -1.204431107188114
     -0.4436974992327126      -1.194304738445268
     -0.4317982759330048      -1.184810762184202
     -0.4202164033831897      -1.175956831480491
     -0.4089353929735006      -1.167764822502093
     -0.3979400086720374      -1.158720881382351
     -0.3872161432802643      -1.151388524236021
     -0.3767507096020993      -1.145005386300487
     -0.3665315444204132      -1.136224867500109
     -0.3565473235138124      -1.130279915710387
     -0.3467874862246561      -1.127599313329936
     -0.3372421683184257      -1.117234272728044
     -0.3279021420642823      -1.117924918745376
     -0.3187587626244126      -1.105297593050152
     -0.3098039199714861      -1.103108910756668
      -0.301029995663981      -1.094289455783759
