B³êdy dla Lassonen
                log10(h)          log10(blad_lu)    log10(blad_thomas)

      -1.301029995663981      -4.100750795271191      -4.100750795271191
      -1.221848749616356      -3.942493765777399      -3.942493765777399
      -1.154901959985743      -3.808804569352528      -3.808804569352528
      -1.096910013008056      -3.692031082864875      -3.692031082864875
      -1.045757490560675      -3.588976076180638      -3.588976076180638
                      -1      -3.499195004786027      -3.499195004786027
      -0.958607314841775      -3.415509019234044      -3.415509019234044
     -0.9208187539523752       -3.33727707613645       -3.33727707613645
     -0.8860566476931633       -3.26894341980677       -3.26894341980677
      -0.853871964321762      -3.206524642946584      -3.206524642946584
     -0.8239087409443188       -3.14048944306771       -3.14048944306771
     -0.7958800173440752      -3.090117026306441      -3.090117026306441
      -0.769551078621726      -3.035149536805654      -3.035149536805654
     -0.7447274948966939      -2.981143820657931      -2.981143820657931
     -0.7212463990471709       -2.93729453461868       -2.93729453461868
     -0.6989700043360187      -2.883929544027653      -2.883929544027653
     -0.6777807052660806      -2.848140734691539      -2.848140734691539
     -0.6575773191777936      -2.808781925203462      -2.808781925203462
      -0.638272163982407      -2.763455587345864      -2.763455587345864
     -0.6197887582883939      -2.724725584303887      -2.724725584303887
     -0.6020599913279623      -2.682254545300966      -2.682254545300966
     -0.5850266520291819      -2.654465877583934      -2.654465877583934
     -0.5686362358410125      -2.624533400346921      -2.624533400346921
     -0.5528419686577807      -2.592279043964021      -2.592279043964021
     -0.5376020021010438      -2.556265120821259      -2.556265120821259
     -0.5228787452803374      -2.537584918993189      -2.537584918993189
     -0.5086383061657271      -2.490140108098432      -2.490140108098432
     -0.4948500216800938      -2.468027937307625      -2.468027937307625
     -0.4814860601221124      -2.444574671289643      -2.444574671289643
     -0.4685210829577447      -2.419688203244145      -2.419688203244145
     -0.4559319556497242      -2.393269773980823      -2.393269773980823
     -0.4436974992327126      -2.365215827410308      -2.365215827410308
     -0.4317982759330048      -2.335422029958422      -2.335422029958422
     -0.4202164033831897      -2.303791251522767      -2.303791251522767
     -0.4089353929735006      -2.309837211912094      -2.309837211912094
     -0.3979400086720374      -2.273136306177613      -2.273136306177613
     -0.3872161432802643      -2.226648921715463      -2.226648921715463
     -0.3767507096020993      -2.231395356566999      -2.231395356566999
     -0.3665315444204132      -2.180722418811647      -2.180722418811647
     -0.3565473235138124      -2.185367323579105      -2.185367323579105
     -0.3467874862246561      -2.129920188159869      -2.129920188159869
     -0.3372421683184257      -2.134467815477405      -2.134467815477405
     -0.3279021420642823      -2.138968316704411      -2.138968316704411
     -0.3187587626244126      -2.078048315563483      -2.078048315563483
     -0.3098039199714861      -2.082457434468868      -2.082457434468868
